iter	Passed	Remaining
0	2	278
1	5	281
2	8	275
3	10	262
4	13	260
5	16	257
6	19	254
7	21	250
8	24	246
9	26	240
10	29	237
11	31	231
12	33	227
13	36	222
14	39	221
15	41	218
16	44	215
17	46	211
18	48	207
19	51	204
20	53	201
21	56	198
22	58	195
23	60	192
24	63	189
25	65	186
26	67	183
27	70	180
28	72	177
29	75	175
30	77	173
31	79	169
32	82	166
33	85	165
34	87	163
35	90	160
36	92	157
37	95	155
38	97	152
39	99	149
40	102	147
41	103	142
42	105	140
43	108	137
44	110	135
45	113	132
46	115	130
47	118	127
48	120	125
49	122	122
50	124	119
51	127	118
52	130	115
53	133	113
54	134	110
55	137	107
56	139	105
57	142	103
58	145	101
59	148	99
60	151	96
61	153	94
62	156	91
63	159	89
64	161	87
65	164	84
66	166	82
67	169	79
68	171	76
69	174	74
70	176	72
71	178	69
72	181	67
73	183	64
74	185	61
75	188	59
76	190	57
77	193	54
78	195	52
79	198	49
80	201	47
81	204	44
82	206	42
83	208	39
84	211	37
85	213	34
86	216	32
87	218	29
88	221	27
89	224	24
90	227	22
91	229	19
92	232	17
93	235	15
94	237	12
95	240	10
96	242	7
97	244	4
98	247	2
99	249	0
