iter	Passed	Remaining
0	152	151874
1	155	77410
2	157	52351
3	159	39649
4	161	32083
5	163	27142
6	169	24082
7	171	21318
8	173	19125
9	175	17374
10	177	15944
11	180	14821
12	183	13923
13	184	13022
14	186	12247
15	187	11558
16	189	10944
17	191	10469
18	193	9989
19	195	9556
20	196	9149
21	197	8770
22	198	8424
23	199	8114
24	200	7823
25	201	7555
26	202	7302
27	203	7067
28	204	6847
29	206	6681
30	208	6509
31	209	6345
32	211	6186
33	212	6026
34	213	5876
35	213	5729
36	214	5589
37	215	5458
38	216	5333
39	217	5213
40	217	5097
41	218	4992
42	220	4913
43	222	4834
44	223	4746
45	224	4664
46	226	4583
47	227	4505
48	228	4430
49	229	4358
50	230	4287
51	231	4218
52	233	4172
53	236	4146
54	237	4084
55	238	4025
56	239	3966
57	240	3913
58	242	3868
59	243	3814
60	244	3764
61	245	3714
62	246	3665
63	247	3625
64	249	3587
65	250	3550
66	251	3509
67	252	3466
68	253	3425
69	254	3384
70	255	3346
71	256	3308
72	257	3270
73	258	3234
74	259	3201
75	260	3168
76	261	3133
77	262	3103
78	263	3073
79	264	3045
80	266	3018
81	267	2991
82	267	2957
83	268	2931
84	269	2904
85	270	2878
86	271	2852
87	273	2829
88	274	2806
89	275	2781
90	276	2758
91	277	2738
92	278	2716
93	280	2703
94	282	2686
95	283	2667
96	284	2647
97	285	2630
98	287	2612
99	288	2595
100	289	2577
101	290	2558
102	292	2544
103	293	2529
104	295	2518
105	296	2502
106	297	2485
107	298	2467
108	299	2450
109	300	2432
110	302	2421
111	303	2405
112	304	2389
113	305	2373
114	306	2358
115	307	2344
116	308	2330
117	311	2325
118	312	2313
119	313	2298
120	314	2285
121	315	2271
122	316	2258
123	317	2243
124	318	2229
125	319	2214
126	320	2199
127	321	2189
128	322	2178
129	323	2166
130	326	2164
131	327	2156
132	328	2144
133	329	2132
134	330	2120
135	331	2107
136	332	2096
137	333	2084
138	334	2072
139	335	2059
140	336	2050
141	337	2038
142	338	2028
143	341	2029
144	342	2018
145	343	2007
146	344	1997
147	345	1986
148	345	1975
149	346	1964
150	347	1954
151	348	1944
152	349	1934
153	350	1923
154	351	1915
155	352	1906
156	354	1903
157	355	1895
158	356	1887
159	357	1879
160	358	1868
161	359	1858
162	360	1849
163	361	1840
164	362	1832
165	363	1824
166	363	1815
167	364	1806
168	366	1799
169	367	1795
170	368	1788
171	370	1785
172	371	1777
173	372	1769
174	373	1761
175	374	1755
176	375	1747
177	376	1740
178	377	1732
179	378	1724
180	379	1716
181	380	1708
182	381	1702
183	387	1719
184	388	1712
185	389	1705
186	390	1698
187	391	1691
188	392	1685
189	393	1678
190	394	1671
191	395	1665
192	400	1674
193	402	1670
194	402	1663
195	403	1657
196	404	1650
197	405	1643
198	406	1637
199	407	1631
200	408	1625
201	409	1618
202	410	1613
203	412	1608
204	414	1605
205	415	1600
206	416	1594
207	417	1589
208	418	1583
209	419	1578
210	420	1572
211	421	1567
212	422	1561
213	423	1555
214	424	1548
215	425	1542
216	426	1537
217	427	1533
218	429	1531
219	430	1527
220	431	1522
221	432	1516
222	433	1510
223	434	1505
224	435	1499
225	436	1494
226	437	1489
227	438	1485
228	439	1480
229	441	1476
230	442	1471
231	444	1469
232	445	1467
233	446	1463
234	447	1458
235	448	1453
236	449	1448
237	450	1443
238	451	1438
239	452	1432
240	453	1427
241	454	1422
242	455	1417
243	456	1413
244	457	1410
245	459	1407
246	460	1403
247	461	1399
248	462	1394
249	463	1389
250	464	1384
251	465	1380
252	465	1375
253	466	1370
254	467	1366
255	468	1361
256	469	1356
257	470	1352
258	471	1347
259	472	1345
260	474	1343
261	475	1339
262	476	1334
263	477	1330
264	478	1325
265	478	1321
266	479	1317
267	480	1312
268	481	1308
269	482	1304
270	483	1300
271	484	1296
272	485	1292
273	486	1288
274	487	1286
275	489	1283
276	490	1280
277	491	1276
278	492	1273
279	493	1269
280	494	1265
281	495	1262
282	496	1258
283	497	1254
284	498	1250
285	499	1246
286	501	1244
287	503	1243
288	504	1240
289	505	1236
290	505	1232
291	506	1228
292	507	1225
293	508	1221
294	509	1218
295	510	1214
296	511	1211
297	512	1207
298	513	1204
299	514	1200
300	515	1197
301	517	1195
302	518	1193
303	520	1191
304	521	1187
305	522	1183
306	522	1180
307	523	1176
308	524	1173
309	525	1170
310	526	1166
311	527	1163
312	528	1159
313	529	1156
314	530	1153
315	531	1150
316	533	1149
317	534	1146
318	535	1143
319	536	1139
320	537	1136
321	538	1133
322	539	1130
323	540	1126
324	540	1123
325	541	1120
326	542	1116
327	544	1115
328	545	1113
329	547	1110
330	548	1109
331	550	1106
332	551	1103
333	552	1100
334	553	1098
335	554	1096
336	555	1093
337	556	1090
338	557	1087
339	558	1084
340	559	1081
341	560	1078
342	561	1076
343	563	1074
344	564	1072
345	565	1069
346	567	1067
347	567	1064
348	568	1061
349	569	1058
350	570	1055
351	571	1052
352	572	1049
353	573	1046
354	574	1044
355	575	1041
356	578	1041
357	579	1038
358	580	1036
359	581	1033
360	582	1030
361	583	1027
362	584	1025
363	585	1022
364	585	1019
365	586	1016
366	588	1014
367	589	1011
368	590	1010
369	591	1007
370	593	1005
371	595	1004
372	596	1002
373	597	999
374	598	996
375	599	994
376	600	991
377	600	988
378	601	986
379	602	983
380	603	980
381	604	977
382	605	975
383	606	973
384	608	972
385	610	970
386	610	967
387	611	965
388	612	962
389	613	960
390	614	957
391	615	954
392	616	952
393	617	949
394	618	947
395	619	944
396	620	942
397	621	940
398	623	938
399	624	936
400	625	934
401	626	931
402	627	929
403	628	926
404	629	924
405	629	921
406	630	918
407	631	916
408	632	913
409	633	911
410	634	908
411	635	906
412	636	905
413	638	903
414	639	901
415	640	898
416	641	896
417	642	893
418	643	891
419	643	889
420	645	887
421	646	884
422	646	882
423	647	880
424	648	877
425	649	875
426	651	874
427	653	873
428	654	871
429	655	869
430	656	867
431	657	864
432	658	862
433	659	859
434	660	857
435	660	854
436	661	852
437	662	850
438	663	847
439	665	846
440	666	844
441	668	843
442	669	841
443	670	839
444	671	837
445	672	835
446	673	833
447	674	830
448	675	828
449	675	826
450	676	823
451	677	821
452	678	819
453	680	818
454	681	816
455	683	815
456	685	814
457	686	812
458	687	809
459	687	807
460	688	805
461	689	803
462	690	800
463	691	798
464	692	796
465	693	794
466	694	792
467	695	790
468	696	788
469	698	787
470	699	785
471	700	783
472	700	780
473	701	778
474	702	776
475	703	774
476	704	772
477	704	769
478	705	767
479	706	765
480	707	763
481	708	761
482	709	759
483	710	757
484	711	755
485	713	754
486	714	752
487	715	750
488	716	748
489	717	746
490	718	744
491	719	742
492	720	740
493	721	739
494	722	737
495	723	735
496	724	733
497	725	731
498	727	730
499	728	728
500	729	726
501	730	724
502	731	722
503	732	720
504	733	718
505	734	716
506	735	714
507	735	712
508	736	710
509	737	708
510	738	706
511	739	705
512	741	703
513	743	702
514	744	701
515	745	699
516	746	697
517	747	695
518	748	693
519	749	691
520	750	689
521	750	687
522	752	685
523	752	683
524	753	681
525	754	680
526	755	678
527	756	676
528	757	674
529	758	673
530	759	671
531	760	669
532	761	667
533	762	665
534	763	663
535	764	661
536	765	660
537	766	658
538	767	656
539	768	654
540	769	652
541	770	651
542	771	649
543	773	648
544	774	646
545	775	644
546	776	642
547	776	640
548	778	639
549	778	637
550	779	635
551	780	633
552	781	631
553	782	629
554	783	628
555	784	626
556	785	624
557	787	623
558	788	622
559	789	620
560	790	618
561	791	616
562	792	615
563	793	613
564	794	611
565	795	609
566	796	608
567	797	606
568	797	604
569	798	602
570	800	601
571	801	599
572	802	598
573	803	596
574	804	594
575	805	593
576	806	591
577	807	589
578	808	587
579	809	586
580	810	584
581	811	582
582	811	580
583	812	578
584	813	577
585	814	575
586	815	574
587	817	572
588	818	571
589	819	569
590	820	567
591	821	566
592	822	564
593	823	562
594	824	561
595	825	559
596	826	557
597	827	555
598	827	554
599	828	552
600	829	550
601	830	549
602	832	548
603	834	546
604	835	545
605	836	543
606	836	541
607	837	540
608	838	538
609	839	536
610	840	535
611	841	533
612	842	531
613	843	529
614	843	528
615	845	526
616	846	525
617	847	524
618	848	522
619	850	521
620	851	519
621	852	517
622	853	516
623	853	514
624	854	512
625	855	511
626	856	509
627	857	508
628	858	506
629	861	505
630	862	504
631	863	502
632	865	501
633	866	500
634	867	498
635	868	497
636	869	495
637	870	494
638	871	492
639	872	490
640	873	489
641	874	487
642	876	486
643	877	484
644	877	483
645	879	481
646	880	480
647	882	479
648	883	478
649	885	476
650	885	474
651	886	473
652	887	471
653	888	470
654	889	468
655	890	466
656	891	465
657	891	463
658	892	461
659	893	460
660	894	458
661	896	457
662	897	456
663	898	454
664	899	453
665	900	451
666	901	450
667	902	448
668	903	446
669	904	445
670	905	443
671	906	442
672	906	440
673	907	439
674	908	437
675	909	435
676	910	434
677	912	433
678	913	431
679	914	430
680	915	428
681	916	427
682	917	425
683	917	424
684	919	422
685	920	421
686	921	419
687	921	418
688	922	416
689	924	415
690	925	413
691	926	412
692	927	411
693	928	409
694	929	408
695	930	406
696	931	405
697	932	403
698	933	402
699	934	400
700	935	399
701	936	397
702	937	395
703	938	394
704	939	393
705	941	392
706	942	390
707	943	389
708	944	387
709	945	386
710	946	384
711	947	383
712	948	381
713	949	380
714	950	378
715	950	377
716	951	375
717	952	374
718	954	372
719	955	371
720	957	370
721	958	368
722	959	367
723	959	365
724	960	364
725	961	362
726	962	361
